model,all_roc_scores,all_f1_scores,all_recall_scores,all_n_params,all_roc_simplified_scores,all_f1_simplified_scores,all_recall_simplified_scores,all_n_params_simplified,all_training_times,all_test_times,all_simplified_training_times,all_simplified_test_times
"(1, 'DeEscalation')","[0.8344328749701933, 0.7682419755590487, 0.7340225563909775, 0.7236842105263158, 0.8314814814814815, 0.7498474431471461, 0.768036194668623, 0.7256935032077346, 0.7323309312638582, 0.795161816254993]","[0.9110671936758893, 0.8838643371017472, 0.8831967213114754, 0.8704663212435233, 0.8829568788501027, 0.861995753715499, 0.8598930481283422, 0.8522848034006376, 0.8358531317494601, 0.8565264293419633]","[0.8427787934186471, 0.8067542213883677, 0.8101503759398496, 0.7894736842105263, 0.7962962962962963, 0.7762906309751434, 0.7701149425287356, 0.7609108159392789, 0.7329545454545454, 0.7605363984674329]","[380, 380, 380, 380, 380, 380, 380, 380, 380, 380]","[0.7688180589778237, 0.7295776076263881, 0.7462406015037595, 0.7396616541353384, 0.7907407407407407, 0.701090272975062, 0.7730292655090896, 0.731996024216138, 0.7542498152254249, 0.7365288986712317]","[0.8559585492227979, 0.8834355828220859, 0.8353067814854682, 0.8431163287086446, 0.8079034028540066, 0.7968574635241302, 0.8406113537117904, 0.8158765159867696, 0.7511737089201878, 0.8044943820224719]","[0.7550274223034735, 0.8105065666041276, 0.7293233082706767, 0.7424812030075187, 0.6814814814814815, 0.6787762906309751, 0.7375478927203065, 0.7020872865275142, 0.6060606060606061, 0.685823754789272]","[25, 72, 18, 20, 24, 25, 29, 60, 19, 74]","[0.020451068878173828, 0.020010948181152344, 0.02001166343688965, 0.020000457763671875, 0.020001888275146484, 0.02162480354309082, 0.020058870315551758, 0.019971847534179688, 0.01806020736694336, 0.02036762237548828]","[0.0020024776458740234, 0.0019989013671875, 0.001997709274291992, 0.0009992122650146484, 0.001999378204345703, 0.0015139579772949219, 0.0018208026885986328, 0.0020012855529785156, 0.002223491668701172, 0.0019497871398925781]","[0.13241791725158691, 0.13505053520202637, 0.13813281059265137, 0.13431191444396973, 0.1339118480682373, 0.1369795799255371, 0.1325089931488037, 0.13701939582824707, 0.13324522972106934, 0.13510656356811523]","[0.0, 0.0015363693237304688, 0.0010068416595458984, 0.001001596450805664, 0.0010001659393310547, 0.0, 0.0, 0.0009982585906982422, 0.00099945068359375, 0.0010020732879638672]"
"(2, 'DeEscalation')","[0.7156295355587808, 0.6209865470852018, 0.6422322893071936, 0.6091867469879518, 0.6692627206645899, 0.6568147013782542, 0.6759576901086335, 0.7127972156866996, 0.6272065514103732, 0.696149300155521]","[0.8047138047138047, 0.805, 0.783289817232376, 0.7996647108130763, 0.8065630397236615, 0.8, 0.7765765765765765, 0.7734082397003745, 0.7416974169741697, 0.7686703096539163]","[0.6937590711175616, 0.7219730941704036, 0.6912442396313364, 0.7183734939759037, 0.7274143302180686, 0.7136294027565084, 0.6776729559748428, 0.6672051696284329, 0.6401273885350318, 0.656298600311042]","[951, 951, 951, 951, 951, 951, 951, 951, 951, 951]","[0.7024038461538461, 0.6357548579970105, 0.6156955401077873, 0.596095922150139, 0.6687064233793205, 0.6803582129302883, 0.6884648370497427, 0.676881959427958, 0.6319608735213831, 0.6889269051321928]","[0.8023549201009251, 0.80067283431455, 0.7619047619047619, 0.7878275570583263, 0.7919227392449517, 0.7954743255004352, 0.766269477543538, 0.7333974975938402, 0.7395736793327155, 0.7683923705722071]","[0.6923076923076923, 0.7115097159940209, 0.663594470046083, 0.7018072289156626, 0.7024922118380063, 0.6998468606431854, 0.6572327044025157, 0.6155088852988692, 0.6353503184713376, 0.6578538102643857]","[263, 276, 150, 241, 280, 211, 256, 294, 261, 282]","[0.05945086479187012, 0.05654191970825195, 0.05582880973815918, 0.05732440948486328, 0.057959794998168945, 0.05664682388305664, 0.05573558807373047, 0.05690932273864746, 0.0575106143951416, 0.05821537971496582]","[0.005143404006958008, 0.005045652389526367, 0.004999399185180664, 0.004651308059692383, 0.00500178337097168, 0.004186868667602539, 0.005000114440917969, 0.0055124759674072266, 0.004738807678222656, 0.00400090217590332]","[0.37666893005371094, 0.3151264190673828, 0.28952646255493164, 0.3218374252319336, 0.25909876823425293, 0.27225351333618164, 0.2640855312347412, 0.3150599002838135, 0.2667508125305176, 0.29184389114379883]","[0.0019621849060058594, 0.0025849342346191406, 0.0009992122650146484, 0.0030002593994140625, 0.0019969940185546875, 0.0015149116516113281, 0.0015141963958740234, 0.0019960403442382812, 0.002000093460083008, 0.00099945068359375]"
"(2, 'Escalation')","[0.5656446540880504, 0.7405913978494623, 0.7341482047364399, 0.6814516129032259, 0.5499999999999999, 0.7049306625577811, 0.7104700854700855, 0.7956674473067916, 0.5737179487179487, 0.8629976580796253]","[0.2916666666666667, 0.24242424242424243, 0.3684210526315789, 0.23076923076923078, 0.15, 0.36363636363636365, 0.3684210526315789, 0.37037037037037035, 0.2222222222222222, 0.41379310344827586]","[0.2916666666666667, 0.6666666666666666, 0.6363636363636364, 0.5, 0.3333333333333333, 0.5454545454545454, 0.5833333333333334, 0.7142857142857143, 0.25, 0.8571428571428571]","[369, 369, 369, 369, 369, 369, 369, 369, 369, 369]","[0.616745283018868, 0.7446236559139783, 0.7131398013750955, 0.6814516129032259, 0.6694444444444445, 0.6964560862865947, 0.7104700854700855, 0.803864168618267, 0.5737179487179487, 0.7710772833723655]","[0.375, 0.25, 0.32558139534883723, 0.23076923076923078, 0.25, 0.34285714285714286, 0.3684210526315789, 0.4, 0.2222222222222222, 0.30303030303030304]","[0.375, 0.6666666666666666, 0.6363636363636364, 0.5, 0.5555555555555556, 0.5454545454545454, 0.5833333333333334, 0.7142857142857143, 0.25, 0.7142857142857143]","[54, 151, 89, 170, 69, 163, 97, 48, 86, 47]","[0.006000041961669922, 0.005006074905395508, 0.004790544509887695, 0.005060434341430664, 0.0049974918365478516, 0.004223823547363281, 0.0050008296966552734, 0.004973173141479492, 0.005474567413330078, 0.005507946014404297]","[0.000997781753540039, 0.0019936561584472656, 0.001566171646118164, 0.001001596450805664, 0.0020020008087158203, 0.002518892288208008, 0.001001596450805664, 0.0019235610961914062, 0.0010361671447753906, 0.0015673637390136719]","[0.1440749168395996, 0.14324283599853516, 0.14472413063049316, 0.13755321502685547, 0.13675236701965332, 0.14805984497070312, 0.15289545059204102, 0.1406714916229248, 0.1653575897216797, 0.1413426399230957]","[0.0, 0.0009675025939941406, 0.0, 0.0019998550415039062, 0.0009982585906982422, 0.0019998550415039062, 0.0009663105010986328, 0.0, 0.001001119613647461, 0.0]"
"(3, 'DeEscalation')","[0.6255400086401381, 0.6499341826900474, 0.6458023671896505, 0.6586094874643736, 0.6299922199170125, 0.6410859860248447, 0.6445342922507789, 0.6327350939670673, 0.6384514901112411, 0.6242997198879552]","[0.6630901287553648, 0.70020964360587, 0.7108433734939759, 0.6983122362869199, 0.6510067114093959, 0.7044534412955465, 0.7002053388090349, 0.6731391585760518, 0.6651933701657459, 0.6695187165775401]","[0.6155378486055777, 0.698744769874477, 0.6820809248554913, 0.6515748031496063, 0.6037344398340249, 0.6796875, 0.666015625, 0.6582278481012658, 0.6244813278008299, 0.657563025210084]","[1418, 1418, 1418, 1418, 1418, 1418, 1418, 1418, 1418, 1418]","[0.6175958815341045, 0.6661299421747919, 0.6518120928525553, 0.663874933578088, 0.6201138721237268, 0.6453440411490683, 0.6480207116433022, 0.6434569773045145, 0.6422137106784409, 0.632703081232493]","[0.6485310119695321, 0.703862660944206, 0.7118301314459049, 0.697228144989339, 0.6308571428571429, 0.7046843177189409, 0.6964656964656964, 0.6725468577728776, 0.6717892425905598, 0.6666666666666666]","[0.5936254980079682, 0.6861924686192469, 0.6782273603082851, 0.6437007874015748, 0.5726141078838174, 0.67578125, 0.654296875, 0.6434599156118144, 0.6348547717842323, 0.6407563025210085]","[244, 380, 412, 385, 401, 351, 360, 243, 412, 201]","[0.09319329261779785, 0.09511280059814453, 0.09610795974731445, 0.09305667877197266, 0.09508323669433594, 0.09488201141357422, 0.09968042373657227, 0.0982809066772461, 0.10149788856506348, 0.09960579872131348]","[0.00592041015625, 0.00700068473815918, 0.006998777389526367, 0.005991220474243164, 0.0077838897705078125, 0.006513118743896484, 0.0065114498138427734, 0.007029056549072266, 0.006997108459472656, 0.006999492645263672]","[0.42037510871887207, 0.3878178596496582, 0.4484527111053467, 0.42445945739746094, 0.3894057273864746, 0.4178025722503662, 0.3893473148345947, 0.36751866340637207, 0.43897342681884766, 0.424940824508667]","[0.002000093460083008, 0.002001523971557617, 0.0029413700103759766, 0.002037525177001953, 0.0030031204223632812, 0.0025098323822021484, 0.0025739669799804688, 0.002001047134399414, 0.0030024051666259766, 0.002360820770263672]"
"(3, 'Escalation')","[0.7030214683275907, 0.668560606060606, 0.7723334546778303, 0.7259321323837452, 0.7293677981937091, 0.6609907120743034, 0.698578791191629, 0.7174309916751862, 0.619843020238713, 0.7134724857685011]","[0.3157894736842105, 0.23853211009174313, 0.42105263157894735, 0.359375, 0.35, 0.2835820895522388, 0.3404255319148936, 0.36024844720496896, 0.32142857142857145, 0.3669724770642202]","[0.6363636363636364, 0.5416666666666666, 0.7804878048780488, 0.6571428571428571, 0.7368421052631579, 0.5588235294117647, 0.631578947368421, 0.7073170731707317, 0.3829787234042553, 0.5882352941176471]","[1071, 1071, 1071, 1071, 1071, 1071, 1071, 1071, 1071, 1071]","[0.7254616132167152, 0.6756628787878787, 0.7967236985802693, 0.690364474235442, 0.716209903456867, 0.725748194014448, 0.6926440730907388, 0.7129399737111144, 0.628956927867151, 0.7047179575642574]","[0.34108527131782945, 0.25, 0.44155844155844154, 0.294478527607362, 0.33962264150943394, 0.3310344827586207, 0.3310344827586207, 0.35365853658536583, 0.3333333333333333, 0.3333333333333333]","[0.6666666666666666, 0.5416666666666666, 0.8292682926829268, 0.6857142857142857, 0.7105263157894737, 0.7058823529411765, 0.631578947368421, 0.7073170731707317, 0.40425531914893614, 0.6176470588235294]","[213, 305, 259, 34, 306, 23, 304, 255, 144, 181]","[0.03020477294921875, 0.03042125701904297, 0.030797481536865234, 0.02947521209716797, 0.03102564811706543, 0.030898332595825195, 0.03207540512084961, 0.03255724906921387, 0.03446841239929199, 0.032537221908569336]","[0.0038313865661621094, 0.0034296512603759766, 0.004002094268798828, 0.004000186920166016, 0.004090309143066406, 0.003999948501586914, 0.004000186920166016, 0.0040013790130615234, 0.005144596099853516, 0.003998756408691406]","[1.1533493995666504, 0.9144527912139893, 1.067471981048584, 0.3605320453643799, 1.0210585594177246, 0.6723511219024658, 1.218186616897583, 0.8506948947906494, 0.7511351108551025, 0.3017733097076416]","[0.0010004043579101562, 0.0010018348693847656, 0.0019991397857666016, 0.0009996891021728516, 0.0010080337524414062, 0.0009984970092773438, 0.002000093460083008, 0.002000570297241211, 0.0, 0.00154876708984375]"
"(4, 'DeEscalation')","[0.6266626960492356, 0.6317485898468976, 0.6365914786967418, 0.6039393939393939, 0.6457575757575758, 0.5981781376518218, 0.6181818181818183, 0.6103238866396761, 0.6378542510121458, 0.6885576148267527]","[0.6344827586206897, 0.6338028169014085, 0.6015037593984962, 0.5942028985507246, 0.6323529411764706, 0.6410256410256411, 0.625, 0.5925925925925926, 0.6438356164383562, 0.6857142857142857]","[0.6301369863013698, 0.6164383561643836, 0.7017543859649122, 0.6212121212121212, 0.6515151515151515, 0.6578947368421053, 0.6, 0.6153846153846154, 0.7230769230769231, 0.7058823529411765]","[642, 642, 642, 642, 642, 642, 642, 642, 642, 642]","[0.5916219972205679, 0.6474617244157937, 0.6716791979949874, 0.5945454545454545, 0.6315151515151515, 0.6015182186234818, 0.6503030303030304, 0.6510121457489879, 0.6894736842105263, 0.6685132957292507]","[0.5972222222222222, 0.6323529411764706, 0.6423357664233577, 0.5714285714285714, 0.6176470588235294, 0.6266666666666667, 0.6323529411764706, 0.6527777777777778, 0.697986577181208, 0.6758620689655173]","[0.589041095890411, 0.589041095890411, 0.7719298245614035, 0.5757575757575758, 0.6363636363636364, 0.618421052631579, 0.5733333333333334, 0.7230769230769231, 0.8, 0.7205882352941176]","[227, 126, 161, 28, 254, 34, 76, 100, 21, 50]","[0.009586334228515625, 0.009002685546875, 0.009085893630981445, 0.009037017822265625, 0.009999513626098633, 0.008997917175292969, 0.009263753890991211, 0.00852060317993164, 0.007916688919067383, 0.007517814636230469]","[0.0019266605377197266, 0.0019996166229248047, 0.0029125213623046875, 0.0019960403442382812, 0.002000093460083008, 0.0020012855529785156, 0.002013683319091797, 0.0019974708557128906, 0.002998828887939453, 0.0020020008087158203]","[0.18303632736206055, 0.16400432586669922, 0.15695905685424805, 0.17221999168395996, 0.18802666664123535, 0.16283082962036133, 0.16176342964172363, 0.1761932373046875, 0.18313312530517578, 0.17538690567016602]","[0.0009448528289794922, 0.0014657974243164062, 0.0010006427764892578, 0.0, 0.0009660720825195312, 0.0010020732879638672, 0.0, 0.0008785724639892578, 0.001001596450805664, 0.0]"
"(4, 'Escalation')","[0.5880713489409141, 0.5277777777777778, 0.6053571428571428, 0.600891861761427, 0.5528169014084507, 0.6125, 0.6104166666666667, 0.5606960950764006, 0.553544776119403, 0.5386784850926671]","[0.49411764705882355, 0.36619718309859156, 0.43478260869565216, 0.5116279069767442, 0.43902439024390244, 0.4878048780487805, 0.4943820224719101, 0.4155844155844156, 0.47191011235955055, 0.4235294117647059]","[0.5384615384615384, 0.3611111111111111, 0.5357142857142857, 0.5641025641025641, 0.5, 0.625, 0.6875, 0.5161290322580645, 0.525, 0.5294117647058824]","[581, 581, 581, 581, 581, 581, 581, 581, 581, 581]","[0.5992196209587515, 0.576388888888889, 0.5776785714285714, 0.5590858416945373, 0.5670970266040689, 0.5433333333333333, 0.5858333333333333, 0.5475382003395586, 0.5585820895522389, 0.5836019339242546]","[0.5168539325842697, 0.42857142857142855, 0.3793103448275862, 0.47191011235955055, 0.44155844155844154, 0.4050632911392405, 0.46511627906976744, 0.4050632911392405, 0.4835164835164835, 0.43478260869565216]","[0.5897435897435898, 0.4166666666666667, 0.39285714285714285, 0.5384615384615384, 0.4722222222222222, 0.5, 0.625, 0.5161290322580645, 0.55, 0.4411764705882353]","[174, 6, 5, 48, 88, 85, 105, 185, 27, 18]","[0.007526397705078125, 0.006519317626953125, 0.007178306579589844, 0.006876707077026367, 0.0069122314453125, 0.00599980354309082, 0.0069997310638427734, 0.00599980354309082, 0.0065155029296875, 0.006182432174682617]","[0.001550436019897461, 0.003036975860595703, 0.0019364356994628906, 0.0016355514526367188, 0.0020020008087158203, 0.001997709274291992, 0.0019998550415039062, 0.0025556087493896484, 0.0018002986907958984, 0.0025110244750976562]","[0.18620061874389648, 0.18564844131469727, 0.21065044403076172, 0.23635506629943848, 0.18055343627929688, 0.2296450138092041, 0.2414684295654297, 0.2112128734588623, 0.252960205078125, 0.19793915748596191]","[0.0009963512420654297, 0.0, 0.0010025501251220703, 0.0, 0.0005116462707519531, 0.0009975433349609375, 0.0009992122650146484, 0.000997781753540039, 0.0010001659393310547, 0.0]"
"(5, 'Escalation')","[0.5511363636363635, 0.5801149425287356, 0.4975071225071225, 0.5483870967741935, 0.607638888888889, 0.5420906567992599, 0.5467372134038802, 0.6186401480111008, 0.6024305555555556, 0.5728468899521532]","[0.49696969696969695, 0.5465116279069767, 0.5619047619047619, 0.5434782608695652, 0.6010928961748634, 0.4970414201183432, 0.5376344086021505, 0.6282722513089005, 0.6063829787234043, 0.5888324873096447]","[0.4659090909090909, 0.5402298850574713, 0.5462962962962963, 0.5376344086021505, 0.6111111111111112, 0.45652173913043476, 0.47619047619047616, 0.6521739130434783, 0.59375, 0.5272727272727272]","[963, 963, 963, 963, 963, 963, 963, 963, 963, 963]","[0.5353535353535354, 0.6001149425287355, 0.5398860398860399, 0.5376344086021505, 0.6381944444444445, 0.5846438482886217, 0.5462081128747795, 0.612395929694727, 0.6187499999999999, 0.5971291866028708]","[0.4819277108433735, 0.5595238095238095, 0.16806722689075632, 0.5222222222222223, 0.6127167630057804, 0.5217391304347826, 0.5139664804469274, 0.5909090909090909, 0.6203208556149733, 0.6051282051282051]","[0.45454545454545453, 0.5402298850574713, 0.09259259259259259, 0.5053763440860215, 0.5888888888888889, 0.45652173913043476, 0.4380952380952381, 0.5652173913043478, 0.6041666666666666, 0.5363636363636364]","[234, 201, 1, 251, 241, 185, 232, 250, 57, 252]","[0.015004396438598633, 0.015484094619750977, 0.015814542770385742, 0.014277935028076172, 0.01505136489868164, 0.014945745468139648, 0.014990568161010742, 0.01523900032043457, 0.015677452087402344, 0.0149993896484375]","[0.0030014514923095703, 0.003000974655151367, 0.0025331974029541016, 0.003999948501586914, 0.003535032272338867, 0.0027801990509033203, 0.0030341148376464844, 0.003000020980834961, 0.0030946731567382812, 0.0040018558502197266]","[0.21279644966125488, 0.2010173797607422, 0.19550466537475586, 0.19985604286193848, 0.19358110427856445, 0.20012974739074707, 0.1877734661102295, 0.19882798194885254, 0.20689749717712402, 0.20441293716430664]","[0.0020859241485595703, 0.0009999275207519531, 0.0, 0.0019845962524414062, 0.0009975433349609375, 0.0010001659393310547, 0.0019443035125732422, 0.0014874935150146484, 0.0, 0.0010013580322265625]"
