model,all_roc_scores,all_f1_scores,all_recall_scores,all_n_params,all_roc_simplified_scores,all_f1_simplified_scores,all_recall_simplified_scores,all_n_params_simplified,all_training_times,all_test_times,all_simplified_training_times,all_simplified_test_times
"(1, 'DeEscalation')","[0.825292107145696, 0.7673038892551088, 0.7039473684210527, 0.7631578947368421, 0.837037037037037, 0.7614417639640374, 0.7864392271949132, 0.7509713562844492, 0.7481984478935698, 0.7535664791717617]","[0.9001996007984032, 0.8827160493827161, 0.8613138686131386, 0.8731808731808732, 0.8699271592091571, 0.8641188959660298, 0.8580645161290322, 0.8414239482200647, 0.8262295081967214, 0.8540772532188842]","[0.8244972577696527, 0.8048780487804879, 0.7763157894736842, 0.7894736842105263, 0.774074074074074, 0.7782026768642447, 0.764367816091954, 0.7400379506641366, 0.7159090909090909, 0.7624521072796935]","[380, 380, 380, 380, 380, 380, 380, 380, 380, 380]","[0.7613067323742151, 0.7521170326048374, 0.7095864661654135, 0.7838345864661654, 0.7851851851851852, 0.7297709613115821, 0.7440898345153665, 0.6801527062437879, 0.7439486326681449, 0.6943833048015]","[0.8175965665236051, 0.8302702702702702, 0.8022099447513812, 0.8519701810436635, 0.8, 0.8360477741585234, 0.8285714285714286, 0.7905935050391937, 0.7532163742690059, 0.7423167848699763]","[0.696526508226691, 0.7204502814258912, 0.6823308270676691, 0.7518796992481203, 0.6703703703703704, 0.7361376673040153, 0.7222222222222222, 0.6698292220113852, 0.6098484848484849, 0.6015325670498084]","[62, 63, 30, 38, 59, 35, 62, 32, 26, 61]","[0.9386937618255615, 0.9056887626647949, 0.8914821147918701, 0.9428553581237793, 1.0490190982818604, 0.9426441192626953, 0.9616045951843262, 0.8859250545501709, 0.9066665172576904, 0.940298318862915]","[0.08180546760559082, 0.08081746101379395, 0.07997727394104004, 0.08275437355041504, 0.10417842864990234, 0.07755088806152344, 0.07980704307556152, 0.08051085472106934, 0.07677197456359863, 0.07839417457580566]","[0.580512523651123, 0.6099441051483154, 0.513167142868042, 0.5092957019805908, 0.61637282371521, 0.5499653816223145, 0.5449860095977783, 0.4793856143951416, 0.468691349029541, 0.5542495250701904]","[0.03766131401062012, 0.03946423530578613, 0.03260231018066406, 0.03259086608886719, 0.04337739944458008, 0.03374218940734863, 0.03587484359741211, 0.031035184860229492, 0.027561664581298828, 0.03784966468811035]"
"(2, 'DeEscalation')","[0.7050253991291727, 0.6405231689088191, 0.6338097841651696, 0.6036260426320668, 0.6615487316421895, 0.6519741660563287, 0.6624499714122356, 0.6881308887467338, 0.6378980891719745, 0.7217045101088647]","[0.797971259509721, 0.7949152542372881, 0.7608888888888888, 0.7979882648784576, 0.7915936952714536, 0.7881944444444444, 0.7525298988040479, 0.7240704500978473, 0.7345794392523365, 0.7751371115173674]","[0.6850507982583455, 0.7010463378176383, 0.6574500768049155, 0.7168674698795181, 0.7040498442367601, 0.6952526799387443, 0.6430817610062893, 0.5977382875605816, 0.6257961783439491, 0.6594090202177294]","[951, 951, 951, 951, 951, 951, 951, 951, 951, 951]","[0.6983762699564586, 0.6670702541106128, 0.6435535942096904, 0.5965593141797961, 0.6545022993621125, 0.6530927491843664, 0.6718839336763865, 0.687453242402229, 0.6429708826205641, 0.7255987558320373]","[0.7633187772925765, 0.7816291161178509, 0.7129455909943715, 0.7123287671232876, 0.7313432835820896, 0.7277777777777777, 0.7661510464058234, 0.6554267650158061, 0.6991236611489776, 0.7443181818181818]","[0.6342525399129173, 0.6741405082212257, 0.5837173579109063, 0.5873493975903614, 0.6105919003115264, 0.6018376722817764, 0.6619496855345912, 0.5024232633279483, 0.571656050955414, 0.6111975116640747]","[204, 210, 206, 51, 203, 165, 207, 196, 224, 209]","[9.996959209442139, 10.015005350112915, 9.692658185958862, 9.835623741149902, 9.711115598678589, 9.624563455581665, 9.630924463272095, 9.660007238388062, 9.85825777053833, 9.878545045852661]","[0.6536250114440918, 0.627436637878418, 0.6228551864624023, 0.6285600662231445, 0.6346383094787598, 0.630070686340332, 0.6592845916748047, 0.6472108364105225, 0.624657154083252, 0.6280016899108887]","[2.056227207183838, 1.979708194732666, 1.9015460014343262, 1.2719008922576904, 2.173557996749878, 1.9632987976074219, 2.167403221130371, 1.9935975074768066, 1.9473180770874023, 2.1335341930389404]","[0.14391541481018066, 0.14149832725524902, 0.14206290245056152, 0.08405137062072754, 0.16260266304016113, 0.13937878608703613, 0.15627241134643555, 0.13459444046020508, 0.14877653121948242, 0.16344571113586426]"
"(2, 'Escalation')","[0.6187106918238995, 0.7083333333333334, 0.7333842627960275, 0.6411290322580645, 0.6486111111111111, 0.6837442218798151, 0.7478632478632476, 0.7997658079625294, 0.6228632478632479, 0.8629976580796253]","[0.37735849056603776, 0.1951219512195122, 0.32, 0.16666666666666666, 0.2222222222222222, 0.3157894736842105, 0.4, 0.38461538461538464, 0.2702702702702703, 0.41379310344827586]","[0.4166666666666667, 0.6666666666666666, 0.7272727272727273, 0.5, 0.5555555555555556, 0.5454545454545454, 0.6666666666666666, 0.7142857142857143, 0.4166666666666667, 0.8571428571428571]","[369, 369, 369, 369, 369, 369, 369, 369, 369, 369]","[0.669811320754717, 0.736559139784946, 0.7131398013750955, 0.6491935483870968, 0.7083333333333334, 0.774653312788906, 0.7478632478632476, 0.8302107728337237, 0.686965811965812, 0.8629976580796253]","[0.4528301886792453, 0.23529411764705882, 0.32558139534883723, 0.17647058823529413, 0.26666666666666666, 0.4, 0.4, 0.32432432432432434, 0.27692307692307694, 0.41379310344827586]","[0.5, 0.6666666666666666, 0.6363636363636364, 0.5, 0.6666666666666666, 0.7272727272727273, 0.6666666666666666, 0.8571428571428571, 0.75, 0.8571428571428571]","[45, 2, 96, 152, 57, 110, 101, 6, 6, 80]","[0.054077863693237305, 0.05974984169006348, 0.055144548416137695, 0.05551290512084961, 0.05793046951293945, 0.0555574893951416, 0.055559635162353516, 0.05710268020629883, 0.054434776306152344, 0.05817437171936035]","[0.006541252136230469, 0.0069997310638427734, 0.006515026092529297, 0.0060002803802490234, 0.007483005523681641, 0.005999326705932617, 0.006512641906738281, 0.00688934326171875, 0.006028175354003906, 0.006993532180786133]","[0.1469132900238037, 0.14943146705627441, 0.15985536575317383, 0.16747307777404785, 0.15222835540771484, 0.19373631477355957, 0.17411017417907715, 0.1431746482849121, 0.16252827644348145, 0.14421486854553223]","[0.0019435882568359375, 0.0019996166229248047, 0.002511739730834961, 0.0030002593994140625, 0.001953125, 0.0029993057250976562, 0.002000093460083008, 0.0020003318786621094, 0.0009677410125732422, 0.002002239227294922]"
"(3, 'DeEscalation')","[0.6245679930878894, 0.639803018193785, 0.6569685292228644, 0.6561820684991064, 0.6074889192757451, 0.644240100931677, 0.6568341121495327, 0.6423198523794412, 0.6232932581480299, 0.6257002801120448]","[0.6587473002159827, 0.6891464699683878, 0.720160481444333, 0.7060041407867494, 0.6316964285714286, 0.7127127127127127, 0.7154471544715447, 0.6636771300448431, 0.6527012127894156, 0.6630434782608695]","[0.6075697211155379, 0.6841004184100419, 0.6917148362235067, 0.6712598425196851, 0.5871369294605809, 0.6953125, 0.6875, 0.6244725738396625, 0.6141078838174274, 0.6407563025210085]","[1418, 1418, 1418, 1418, 1418, 1418, 1418, 1418, 1418, 1418]","[0.6335801372821965, 0.6490644539513892, 0.6459216441875401, 0.6726426259600985, 0.6139369577517919, 0.6533324437111802, 0.6607160241433023, 0.6488223264341878, 0.6283410764738566, 0.6390056022408963]","[0.6659459459459459, 0.6783754116355654, 0.6949327817993796, 0.6996770721205597, 0.6328828828828829, 0.7126903553299493, 0.7138461538461538, 0.6566820276497696, 0.6533333333333333, 0.6644444444444444]","[0.6135458167330677, 0.6464435146443515, 0.6473988439306358, 0.639763779527559, 0.58298755186722, 0.685546875, 0.6796875, 0.6012658227848101, 0.6099585062240664, 0.6281512605042017]","[230, 276, 280, 280, 297, 344, 288, 322, 286, 232]","[21.094793558120728, 20.93241047859192, 20.866333723068237, 20.950700759887695, 20.528960466384888, 20.844395399093628, 20.730942726135254, 20.76007604598999, 21.001415729522705, 20.525726795196533]","[1.260606288909912, 1.2776296138763428, 1.2313108444213867, 1.2307908535003662, 1.2146213054656982, 1.216167688369751, 1.2488453388214111, 1.2436738014221191, 1.2233288288116455, 1.2185649871826172]","[2.75376296043396, 3.1317059993743896, 3.2519171237945557, 3.0742602348327637, 3.819171667098999, 3.8171186447143555, 3.2716126441955566, 3.437819242477417, 3.2219398021698, 2.8283228874206543]","[0.19227290153503418, 0.213517427444458, 0.23047494888305664, 0.2197093963623047, 0.2643570899963379, 0.24908924102783203, 0.22470784187316895, 0.23878812789916992, 0.2184295654296875, 0.1955411434173584]"
"(3, 'Escalation')","[0.751082251082251, 0.7679924242424242, 0.7725882781215871, 0.725178047758693, 0.7496107131734663, 0.7228242174062608, 0.7482430110885523, 0.7375492916605813, 0.6304488842760767, 0.7370622735897878]","[0.33121019108280253, 0.2857142857142857, 0.40993788819875776, 0.3333333333333333, 0.3522727272727273, 0.32653061224489793, 0.38095238095238093, 0.3657142857142857, 0.3305785123966942, 0.36507936507936506]","[0.7878787878787878, 0.7916666666666666, 0.8048780487804879, 0.7142857142857143, 0.8157894736842105, 0.7058823529411765, 0.7368421052631579, 0.7804878048780488, 0.425531914893617, 0.6764705882352942]","[1071, 1071, 1071, 1071, 1071, 1071, 1071, 1071, 1071, 1071]","[0.7583708808198604, 0.7613636363636364, 0.7621405169275572, 0.7017176372015083, 0.7336499532855809, 0.7067423460612315, 0.732117757301265, 0.7210822257923178, 0.6365140114167098, 0.6988097291702604]","[0.34210526315789475, 0.29508196721311475, 0.39285714285714285, 0.30120481927710846, 0.3473053892215569, 0.3037974683544304, 0.36486486486486486, 0.34408602150537637, 0.336, 0.33613445378151263]","[0.7878787878787878, 0.75, 0.8048780487804879, 0.7142857142857143, 0.7631578947368421, 0.7058823529411765, 0.7105263157894737, 0.7804878048780488, 0.44680851063829785, 0.5882352941176471]","[193, 298, 243, 32, 289, 18, 278, 128, 73, 158]","[1.566594123840332, 1.6747558116912842, 1.5957317352294922, 1.599287748336792, 1.5300588607788086, 1.5935719013214111, 1.5865325927734375, 1.52830171585083, 1.519650936126709, 1.556520700454712]","[0.11913919448852539, 0.11917567253112793, 0.11879134178161621, 0.11480426788330078, 0.11409401893615723, 0.12140226364135742, 0.11774659156799316, 0.11448907852172852, 0.1130216121673584, 0.11648344993591309]","[1.3267033100128174, 1.2340729236602783, 1.4674508571624756, 0.5039417743682861, 1.40775465965271, 0.5026710033416748, 1.329169750213623, 1.044264554977417, 0.8919117450714111, 0.5645532608032227]","[0.030545473098754883, 0.036649465560913086, 0.035936832427978516, 0.012986421585083008, 0.038690805435180664, 0.013422966003417969, 0.03391456604003906, 0.021517276763916016, 0.01799750328063965, 0.023515939712524414]"
"(4, 'DeEscalation')","[0.6331149493746278, 0.681204673650282, 0.6422305764411028, 0.6009090909090908, 0.6590909090909091, 0.6191295546558704, 0.656060606060606, 0.626821862348178, 0.6126518218623482, 0.6753626107977438]","[0.6486486486486487, 0.6853146853146853, 0.6131386861313869, 0.6122448979591837, 0.6417910447761194, 0.625, 0.6474820143884892, 0.6187050359712231, 0.631578947368421, 0.6805555555555556]","[0.6575342465753424, 0.6712328767123288, 0.7368421052631579, 0.6818181818181818, 0.6515151515151515, 0.5921052631578947, 0.6, 0.6615384615384615, 0.7384615384615385, 0.7205882352941176]","[642, 642, 642, 642, 642, 642, 642, 642, 642, 642]","[0.6210045662100458, 0.6421232876712328, 0.5986842105263158, 0.5775757575757576, 0.6536363636363635, 0.6048582995951417, 0.6996969696969697, 0.6036437246963562, 0.702429149797571, 0.6604552780016116]","[0.6086956521739131, 0.6046511627906976, 0.5511811023622047, 0.5354330708661418, 0.6065573770491803, 0.6111111111111112, 0.6861313868613139, 0.5528455284552846, 0.6611570247933884, 0.584070796460177]","[0.5753424657534246, 0.5342465753424658, 0.6140350877192983, 0.5151515151515151, 0.5606060606060606, 0.5789473684210527, 0.6266666666666667, 0.5230769230769231, 0.6153846153846154, 0.4852941176470588]","[207, 67, 143, 22, 254, 112, 85, 181, 22, 34]","[0.13082265853881836, 0.130418062210083, 0.13031530380249023, 0.13065433502197266, 0.12865686416625977, 0.12877202033996582, 0.12624859809875488, 0.12851643562316895, 0.1282665729522705, 0.13097763061523438]","[0.014516830444335938, 0.014228343963623047, 0.013397693634033203, 0.013708829879760742, 0.013132095336914062, 0.013002157211303711, 0.013325214385986328, 0.013489723205566406, 0.014197349548339844, 0.013484954833984375]","[0.25569748878479004, 0.20713114738464355, 0.21799755096435547, 0.20098447799682617, 0.22817349433898926, 0.19758367538452148, 0.2168445587158203, 0.22343707084655762, 0.18256402015686035, 0.17852377891540527]","[0.007512331008911133, 0.004328012466430664, 0.0055255889892578125, 0.002510547637939453, 0.007000446319580078, 0.003999948501586914, 0.005000114440917969, 0.006886005401611328, 0.0035588741302490234, 0.0035140514373779297]"
"(4, 'Escalation')","[0.5774804905239689, 0.5416666666666667, 0.6267857142857143, 0.5741360089186176, 0.524452269170579, 0.6414583333333335, 0.6281249999999999, 0.5469015280135823, 0.5688432835820896, 0.5701047542304593]","[0.5, 0.41975308641975306, 0.4691358024691358, 0.5102040816326531, 0.42696629213483145, 0.5185185185185185, 0.5060240963855421, 0.4186046511627907, 0.5242718446601942, 0.4731182795698925]","[0.5897435897435898, 0.4722222222222222, 0.6785714285714286, 0.6410256410256411, 0.5277777777777778, 0.65625, 0.65625, 0.5806451612903226, 0.675, 0.6470588235294118]","[581, 581, 581, 581, 581, 581, 581, 581, 581, 581]","[0.6098104793756968, 0.5694444444444444, 0.625, 0.5746934225195094, 0.55320813771518, 0.5697916666666667, 0.59, 0.5764006791171478, 0.6005597014925373, 0.5795729250604351]","[0.5121951219512195, 0.4225352112676056, 0.45161290322580644, 0.4383561643835616, 0.42105263157894735, 0.4, 0.4444444444444444, 0.3404255319148936, 0.4722222222222222, 0.38596491228070173]","[0.5384615384615384, 0.4166666666666667, 0.5, 0.41025641025641024, 0.4444444444444444, 0.40625, 0.5, 0.25806451612903225, 0.425, 0.3235294117647059]","[113, 124, 8, 36, 129, 81, 123, 6, 9, 6]","[0.08332180976867676, 0.08416366577148438, 0.08538198471069336, 0.08364558219909668, 0.08648109436035156, 0.08518314361572266, 0.086029052734375, 0.08411526679992676, 0.08901453018188477, 0.08744168281555176]","[0.010088205337524414, 0.009002447128295898, 0.00902414321899414, 0.010241270065307617, 0.009319543838500977, 0.00902557373046875, 0.010011434555053711, 0.00990152359008789, 0.00950932502746582, 0.010007381439208984]","[0.2063310146331787, 0.20900797843933105, 0.21100497245788574, 0.19375324249267578, 0.1811048984527588, 0.1970665454864502, 0.209794282913208, 0.20745253562927246, 0.21885037422180176, 0.17429184913635254]","[0.003999471664428711, 0.003000020980834961, 0.002002239227294922, 0.002000093460083008, 0.003997325897216797, 0.003515958786010742, 0.00299835205078125, 0.0019998550415039062, 0.0021371841430664062, 0.0020003318786621094]"
"(5, 'Escalation')","[0.5845959595959597, 0.6208620689655172, 0.5787037037037037, 0.5376344086021505, 0.6097222222222222, 0.611586493987049, 0.5428571428571429, 0.6230342275670674, 0.6086805555555554, 0.5977272727272727]","[0.5, 0.5783132530120482, 0.5668449197860963, 0.532608695652174, 0.5609756097560976, 0.5555555555555556, 0.5, 0.5977011494252874, 0.6010928961748634, 0.550561797752809]","[0.4318181818181818, 0.5517241379310345, 0.49074074074074076, 0.5268817204301075, 0.5111111111111111, 0.4891304347826087, 0.41904761904761906, 0.5652173913043478, 0.5729166666666666, 0.44545454545454544]","[963, 963, 963, 963, 963, 963, 963, 963, 963, 963]","[0.5429292929292929, 0.6118965517241379, 0.5708689458689459, 0.5322580645161291, 0.5916666666666667, 0.5507631822386679, 0.5146384479717813, 0.6276595744680852, 0.6611111111111111, 0.5998803827751196]","[0.4028776978417266, 0.5070422535211268, 0.5029239766081871, 0.43870967741935485, 0.5098039215686274, 0.37593984962406013, 0.37662337662337664, 0.5714285714285714, 0.6, 0.45454545454545453]","[0.3181818181818182, 0.41379310344827586, 0.39814814814814814, 0.3655913978494624, 0.43333333333333335, 0.2717391304347826, 0.2761904761904762, 0.5, 0.5, 0.3181818181818182]","[197, 34, 19, 166, 134, 87, 115, 219, 60, 202]","[0.3986365795135498, 0.40960001945495605, 0.41112279891967773, 0.4169936180114746, 0.41135239601135254, 0.3985252380371094, 0.39658212661743164, 0.39867448806762695, 0.399137020111084, 0.40833592414855957]","[0.04059481620788574, 0.04208183288574219, 0.04077959060668945, 0.04054546356201172, 0.04218912124633789, 0.04061245918273926, 0.039603233337402344, 0.03984999656677246, 0.04140162467956543, 0.03935670852661133]","[0.32431960105895996, 0.23651361465454102, 0.22417593002319336, 0.3092310428619385, 0.2731029987335205, 0.2538783550262451, 0.2677907943725586, 0.3282003402709961, 0.2746405601501465, 0.3027818202972412]","[0.011971473693847656, 0.0049974918365478516, 0.004421710968017578, 0.009515762329101562, 0.008141040802001953, 0.007987737655639648, 0.009002208709716797, 0.013031005859375, 0.00599980354309082, 0.011029720306396484]"
