model,all_roc_scores,all_f1_scores,all_recall_scores,all_n_params,all_roc_simplified_scores,all_f1_simplified_scores,all_recall_simplified_scores,all_n_params_simplified,all_training_times,all_test_times,all_simplified_training_times,all_simplified_test_times
"(1, 'DeEscalation')","[0.8236626659248072, 0.7716140155164546, 0.731203007518797, 0.7481203007518796, 0.8509259259259259, 0.7641877873154062, 0.7755971305127578, 0.7846977500677691, 0.7596775683665928, 0.7302722752099129]","[0.9229268292682927, 0.9032258064516129, 0.8947368421052632, 0.8852459016393442, 0.8872950819672131, 0.8798328108672936, 0.881675392670157, 0.8703898840885143, 0.8565356004250797, 0.8622881355932204]","[0.8647166361974405, 0.8405253283302064, 0.8308270676691729, 0.8120300751879699, 0.8018518518518518, 0.8049713193116634, 0.8065134099616859, 0.7836812144212524, 0.7632575757575758, 0.7796934865900383]","[757, 757, 757, 757, 757, 757, 757, 757, 757, 757]","[0.7701295604482951, 0.7427108158815476, 0.7086466165413534, 0.7274436090225562, 0.800925925925926, 0.7322728936983849, 0.7892108910083965, 0.755195626637752, 0.7130219881744272, 0.6896347925328115]","[0.9094488188976378, 0.8991935483870968, 0.89738430583501, 0.8902439024390244, 0.8845760980592441, 0.8770833333333333, 0.8740740740740741, 0.8613756613756614, 0.884102564102564, 0.8610526315789474]","[0.8446069469835467, 0.8367729831144465, 0.8383458646616542, 0.8233082706766918, 0.8018518518518518, 0.8049713193116634, 0.7911877394636015, 0.7722960151802657, 0.8162878787878788, 0.7835249042145593]","[170, 180, 171, 178, 163, 183, 167, 169, 156, 158]","[21.953234672546387, 21.305041790008545, 20.985458850860596, 21.090091228485107, 20.20086693763733, 20.814521074295044, 20.98063039779663, 20.733399868011475, 20.861319065093994, 21.450072050094604]","[0.02037811279296875, 0.02029561996459961, 0.02054595947265625, 0.020068645477294922, 0.019810914993286133, 0.020067214965820312, 0.020066499710083008, 0.021521806716918945, 0.021898269653320312, 0.02411174774169922]","[36.96089315414429, 48.34120965003967, 59.39605093002319, 33.264944314956665, 47.215442419052124, 48.8003945350647, 58.74461793899536, 38.39180278778076, 48.132120847702026, 40.91304087638855]","[0.0070002079010009766, 0.0065157413482666016, 0.006999969482421875, 0.0070269107818603516, 0.00691986083984375, 0.007515907287597656, 0.007009983062744141, 0.006997823715209961, 0.006514787673950195, 0.0075225830078125]"
"(2, 'DeEscalation')","[0.7144593613933237, 0.6249551569506727, 0.672635319846911, 0.6227409638554218, 0.6731568016614746, 0.6409547905985752, 0.6907518582046884, 0.688624215285533, 0.6589626933575978, 0.7167029548989113]","[0.8110367892976589, 0.8161582852431987, 0.7993079584775087, 0.8175061932287366, 0.8116938950988822, 0.7993168232280102, 0.792520035618878, 0.7633302151543498, 0.7518518518518519, 0.783001808318264]","[0.7039187227866474, 0.7399103139013453, 0.7096774193548387, 0.7454819277108434, 0.735202492211838, 0.7166921898928025, 0.699685534591195, 0.6591276252019386, 0.6464968152866242, 0.6734059097978227]","[1893, 1893, 1893, 1893, 1893, 1893, 1893, 1893, 1893, 1893]","[0.7048621190130624, 0.6077130044843049, 0.6572222656148298, 0.6138206672845228, 0.674862780002967, 0.6166722151940875, 0.6746712407089765, 0.6786167340698898, 0.5919244767970882, 0.6812566096423017]","[0.8136439267886856, 0.8112118713932399, 0.7986230636833046, 0.7884451996601529, 0.8048568950563747, 0.7873070325900514, 0.7839285714285714, 0.785131459655485, 0.7488748874887489, 0.7872340425531915]","[0.7097242380261248, 0.7354260089686099, 0.7127496159754224, 0.6987951807228916, 0.7227414330218068, 0.7029096477794793, 0.690251572327044, 0.6995153473344103, 0.6624203821656051, 0.6905132192846034]","[533, 528, 514, 533, 532, 542, 535, 537, 574, 521]","[79.42787861824036, 82.78988456726074, 80.52739429473877, 85.40377020835876, 80.78209137916565, 80.85301518440247, 84.46148729324341, 82.14632844924927, 85.78975510597229, 82.67223262786865]","[0.0536808967590332, 0.05618786811828613, 0.05279231071472168, 0.06043386459350586, 0.052242279052734375, 0.05355691909790039, 0.05326437950134277, 0.05813765525817871, 0.0519869327545166, 0.054086923599243164]","[88.95968794822693, 85.44263577461243, 87.74246454238892, 79.98414945602417, 90.18257927894592, 86.0331072807312, 85.71733164787292, 95.57432460784912, 93.05418920516968, 110.37633776664734]","[0.023592233657836914, 0.020798921585083008, 0.02059173583984375, 0.022035598754882812, 0.021019935607910156, 0.02156209945678711, 0.024184465408325195, 0.021930456161499023, 0.023784875869750977, 0.022002220153808594]"
"(2, 'Escalation')","[0.66312893081761, 0.8951612903225806, 0.6676852559205501, 0.7446236559139783, 0.6486111111111111, 0.6182588597842835, 0.735042735042735, 0.7997658079625294, 0.6858974358974359, 0.895784543325527]","[0.4489795918367347, 0.3157894736842105, 0.2857142857142857, 0.25, 0.2222222222222222, 0.26666666666666666, 0.37209302325581395, 0.38461538461538464, 0.36363636363636365, 0.5714285714285714]","[0.4583333333333333, 1.0, 0.5454545454545454, 0.6666666666666666, 0.5555555555555556, 0.36363636363636365, 0.6666666666666666, 0.7142857142857143, 0.5, 0.8571428571428571]","[735, 735, 735, 735, 735, 735, 735, 735, 735, 735]","[0.5959119496855346, 0.7446236559139783, 0.7012987012987013, 0.6854838709677419, 0.5375, 0.6182588597842835, 0.673076923076923, 0.7119437939110072, 0.5694444444444444, 0.7160421545667447]","[0.3404255319148936, 0.25, 0.35294117647058826, 0.24, 0.13953488372093023, 0.26666666666666666, 0.3333333333333333, 0.27586206896551724, 0.21428571428571427, 0.2857142857142857]","[0.3333333333333333, 0.6666666666666666, 0.5454545454545454, 0.5, 0.3333333333333333, 0.36363636363636365, 0.5, 0.5714285714285714, 0.25, 0.5714285714285714]","[158, 127, 111, 157, 108, 126, 125, 132, 116, 164]","[8.866724967956543, 8.788410663604736, 8.636411428451538, 9.02720856666565, 8.946667194366455, 9.36541223526001, 8.843245267868042, 9.356709003448486, 8.444900751113892, 8.610767602920532]","[0.01806330680847168, 0.017745018005371094, 0.018521547317504883, 0.01752948760986328, 0.018851280212402344, 0.017673492431640625, 0.019038677215576172, 0.017019987106323242, 0.017020463943481445, 0.01755380630493164]","[2.73384952545166, 2.3460891246795654, 2.9477460384368896, 2.9122328758239746, 2.92206072807312, 2.4058635234832764, 2.972013235092163, 3.1778719425201416, 3.167860984802246, 2.377089262008667]","[0.005715370178222656, 0.005540609359741211, 0.005507946014404297, 0.007009267807006836, 0.0039997100830078125, 0.0060482025146484375, 0.005148649215698242, 0.005999088287353516, 0.004999637603759766, 0.006037473678588867]"
"(3, 'DeEscalation')","[0.6304720875534008, 0.6260871609233228, 0.6420589044866503, 0.6426319984541808, 0.623273057336854, 0.6529806385869565, 0.6515558070482866, 0.6480554282289059, 0.6550637774704164, 0.6418067226890757]","[0.675818373812038, 0.6846473029045643, 0.7142857142857143, 0.6815286624203821, 0.6465997770345596, 0.7175879396984924, 0.7069672131147541, 0.6812227074235808, 0.6978723404255319, 0.6872340425531915]","[0.6374501992031872, 0.6903765690376569, 0.6936416184971098, 0.6318897637795275, 0.6016597510373444, 0.697265625, 0.673828125, 0.6582278481012658, 0.6804979253112033, 0.6785714285714286]","[2822, 2822, 2822, 2822, 2822, 2822, 2822, 2822, 2822, 2822]","[0.6089977439639034, 0.6373524987071599, 0.6254518763189284, 0.6475532582967006, 0.6069938230856281, 0.6384292507763976, 0.6306768399532711, 0.6449731438712786, 0.6396425151611873, 0.6092436974789917]","[0.652452025586354, 0.6870389884088515, 0.6992031872509961, 0.6884899683210137, 0.63646408839779, 0.7117296222664016, 0.6839378238341969, 0.6839266450916937, 0.6830309498399146, 0.6715025906735751]","[0.6095617529880478, 0.6820083682008368, 0.6763005780346821, 0.6417322834645669, 0.5975103734439834, 0.69921875, 0.64453125, 0.6687763713080169, 0.6639004149377593, 0.680672268907563]","[590, 629, 644, 641, 653, 681, 701, 624, 739, 664]","[143.10149335861206, 143.97581219673157, 144.56109261512756, 144.20119309425354, 144.74755215644836, 144.9402678012848, 146.24603176116943, 146.48342418670654, 144.02238512039185, 145.1736443042755]","[0.8351168632507324, 0.07888317108154297, 0.07819294929504395, 0.07949304580688477, 0.07918739318847656, 0.0845785140991211, 0.07771587371826172, 0.08057951927185059, 0.07864642143249512, 0.07963061332702637]","[120.19599866867065, 124.93714690208435, 127.94970321655273, 142.5400471687317, 123.0695309638977, 125.23568367958069, 137.39208698272705, 129.56411600112915, 132.4033682346344, 145.66075372695923]","[0.02517247200012207, 0.026043176651000977, 0.027531862258911133, 0.025614500045776367, 0.02749013900756836, 0.0280611515045166, 0.02768254280090332, 0.025537490844726562, 0.027782201766967773, 0.026739120483398438]"
"(3, 'Escalation')","[0.7490502694584327, 0.737689393939394, 0.7758281761922096, 0.725178047758693, 0.7482871379632513, 0.686016511867905, 0.7174761830392004, 0.7084489557470425, 0.6274001037882718, 0.7282214938761428]","[0.3401360544217687, 0.2764227642276423, 0.40476190476190477, 0.3333333333333333, 0.3592814371257485, 0.302158273381295, 0.35135135135135137, 0.3473053892215569, 0.3252032520325203, 0.36363636363636365]","[0.7575757575757576, 0.7083333333333334, 0.8292682926829268, 0.7142857142857143, 0.7894736842105263, 0.6176470588235294, 0.6842105263157895, 0.7073170731707317, 0.425531914893617, 0.6470588235294118]","[2132, 2132, 2132, 2132, 2132, 2132, 2132, 2132, 2132, 2132]","[0.6619401007156108, 0.6794507575757577, 0.7693483800509647, 0.7024717218265605, 0.6999377141077546, 0.662280701754386, 0.6707793221927222, 0.6945377537607712, 0.6289893617021276, 0.669397964464378]","[0.28346456692913385, 0.23931623931623933, 0.4155844155844156, 0.3194444444444444, 0.3176470588235294, 0.3063063063063063, 0.3142857142857143, 0.34177215189873417, 0.33962264150943394, 0.3076923076923077]","[0.5454545454545454, 0.5833333333333334, 0.7804878048780488, 0.6571428571428571, 0.7105263157894737, 0.5, 0.5789473684210527, 0.6585365853658537, 0.3829787234042553, 0.5294117647058824]","[386, 279, 261, 271, 274, 392, 265, 266, 356, 254]","[55.03085803985596, 55.23435044288635, 55.6575243473053, 56.28858709335327, 55.88006281852722, 55.2166006565094, 55.54868531227112, 55.313767433166504, 57.707127809524536, 59.535401582717896]","[0.053498029708862305, 0.05306649208068848, 0.05305933952331543, 0.0525820255279541, 0.052512168884277344, 0.05249190330505371, 0.05373215675354004, 0.05236363410949707, 0.053613901138305664, 0.06551146507263184]","[25.45236110687256, 24.96282458305359, 25.75143551826477, 27.144526720046997, 25.443792581558228, 24.813456058502197, 27.671099424362183, 27.032731294631958, 24.680299043655396, 28.793524503707886]","[0.015021562576293945, 0.012010574340820312, 0.011683225631713867, 0.012525796890258789, 0.012150287628173828, 0.015185117721557617, 0.011999845504760742, 0.01185750961303711, 0.01399993896484375, 0.013242006301879883]"
"(4, 'DeEscalation')","[0.604526503871352, 0.6180499597099113, 0.6008771929824561, 0.6075757575757575, 0.6287878787878789, 0.6036437246963562, 0.6372727272727272, 0.6444331983805668, 0.6806680161943319, 0.7106164383561644]","[0.6266666666666667, 0.6142857142857143, 0.5755395683453237, 0.6164383561643836, 0.6, 0.6540880503144654, 0.6577181208053692, 0.6482758620689655, 0.684931506849315, 0.7132867132867133]","[0.6438356164383562, 0.589041095890411, 0.7017543859649122, 0.6818181818181818, 0.5909090909090909, 0.6842105263157895, 0.6533333333333333, 0.7230769230769231, 0.7692307692307693, 0.75]","[1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278, 1278]","[0.5847726821520747, 0.5969983883964545, 0.5695488721804511, 0.563030303030303, 0.6345454545454545, 0.6300607287449393, 0.5696969696969697, 0.6004048582995951, 0.6675101214574899, 0.63325946817083]","[0.5874125874125874, 0.5899280575539568, 0.5081967213114754, 0.5633802816901409, 0.5984251968503937, 0.6533333333333333, 0.5673758865248227, 0.5692307692307692, 0.6756756756756757, 0.6438356164383562]","[0.5753424657534246, 0.5616438356164384, 0.543859649122807, 0.6060606060606061, 0.5757575757575758, 0.6447368421052632, 0.5333333333333333, 0.5692307692307692, 0.7692307692307693, 0.6911764705882353]","[268, 150, 276, 131, 215, 160, 138, 133, 248, 219]","[17.896264791488647, 17.902764558792114, 17.83714985847473, 18.2877779006958, 18.554895401000977, 17.392886638641357, 17.780093908309937, 17.333271026611328, 17.497681379318237, 18.49907374382019]","[0.0315701961517334, 0.029187679290771484, 0.029506683349609375, 0.0300595760345459, 0.41275930404663086, 0.02955937385559082, 0.03014397621154785, 0.032527923583984375, 0.029021739959716797, 0.029492616653442383]","[2.9317028522491455, 3.151388168334961, 3.587634325027466, 2.7620444297790527, 2.9438529014587402, 2.9441568851470947, 2.7160537242889404, 2.6455278396606445, 3.2065062522888184, 2.8047213554382324]","[0.009031295776367188, 0.005999565124511719, 0.010065317153930664, 0.0049991607666015625, 0.010276317596435547, 0.0065155029296875, 0.006089925765991211, 0.004998922348022461, 0.008000373840332031, 0.008734941482543945]"
"(4, 'Escalation')","[0.5261984392419176, 0.5486111111111112, 0.5919642857142857, 0.6103678929765886, 0.5524256651017214, 0.6414583333333335, 0.5968749999999999, 0.5570882852292021, 0.5835820895522389, 0.5729250604351329]","[0.4318181818181818, 0.425, 0.4266666666666667, 0.5376344086021505, 0.45454545454545453, 0.5185185185185185, 0.4691358024691358, 0.41975308641975306, 0.5161290322580645, 0.45]","[0.48717948717948717, 0.4722222222222222, 0.5714285714285714, 0.6410256410256411, 0.5555555555555556, 0.65625, 0.59375, 0.5483870967741935, 0.6, 0.5294117647058824]","[1157, 1157, 1157, 1157, 1157, 1157, 1157, 1157, 1157, 1157]","[0.5624303232998885, 0.5625, 0.56875, 0.6064659977703456, 0.608568075117371, 0.57, 0.5902083333333333, 0.4764431239388795, 0.5235074626865671, 0.507252215954875]","[0.4578313253012048, 0.4358974358974359, 0.39436619718309857, 0.5227272727272727, 0.5060240963855421, 0.4266666666666667, 0.4634146341463415, 0.3157894736842105, 0.4235294117647059, 0.36363636363636365]","[0.48717948717948717, 0.4722222222222222, 0.5, 0.5897435897435898, 0.5833333333333334, 0.5, 0.59375, 0.3870967741935484, 0.45, 0.4117647058823529]","[183, 179, 106, 184, 200, 173, 120, 166, 184, 193]","[14.186819553375244, 13.724730253219604, 14.147743225097656, 13.77873420715332, 14.053583145141602, 13.977628707885742, 14.336853981018066, 13.75418734550476, 14.227422714233398, 13.88356876373291]","[0.02701878547668457, 0.026375293731689453, 0.027116060256958008, 0.026564359664916992, 0.026571989059448242, 0.026515483856201172, 0.0260159969329834, 0.027029752731323242, 0.02758502960205078, 0.02756786346435547]","[2.1062002182006836, 2.0391030311584473, 2.064044952392578, 1.9009294509887695, 2.3751940727233887, 2.1293461322784424, 2.1502389907836914, 1.8270432949066162, 2.10406494140625, 2.1064865589141846]","[0.0070383548736572266, 0.005999565124511719, 0.003915548324584961, 0.008016586303710938, 0.006515979766845703, 0.007086038589477539, 0.0049991607666015625, 0.005999565124511719, 0.006887912750244141, 0.00699925422668457]"
"(5, 'Escalation')","[0.5505050505050505, 0.5628735632183908, 0.566951566951567, 0.543010752688172, 0.6430555555555555, 0.584990749306198, 0.5885361552028219, 0.6073080481036077, 0.6027777777777779, 0.6093301435406699]","[0.49079754601226994, 0.5207100591715976, 0.5773195876288659, 0.5142857142857142, 0.611764705882353, 0.5389221556886228, 0.56353591160221, 0.5966850828729282, 0.6021505376344086, 0.5792349726775956]","[0.45454545454545453, 0.5057471264367817, 0.5185185185185185, 0.4838709677419355, 0.5777777777777777, 0.4891304347826087, 0.4857142857142857, 0.5869565217391305, 0.5833333333333334, 0.4818181818181818]","[1917, 1917, 1917, 1917, 1917, 1917, 1917, 1917, 1917, 1917]","[0.5593434343434344, 0.5845977011494253, 0.5359686609686609, 0.5591397849462365, 0.6430555555555555, 0.5802497687326549, 0.5980599647266314, 0.5648704902867715, 0.5913194444444445, 0.6016746411483254]","[0.5287356321839081, 0.5760869565217391, 0.5784313725490197, 0.5543478260869565, 0.611764705882353, 0.5617977528089888, 0.5792349726775956, 0.5759162303664922, 0.6, 0.6122448979591837]","[0.5227272727272727, 0.6091954022988506, 0.5462962962962963, 0.5483870967741935, 0.5777777777777777, 0.5434782608695652, 0.5047619047619047, 0.5978260869565217, 0.59375, 0.5454545454545454]","[258, 281, 256, 265, 244, 266, 235, 237, 248, 228]","[33.594233989715576, 33.77972722053528, 34.9380669593811, 33.31940698623657, 33.348421573638916, 33.187087297439575, 33.915693521499634, 33.49874424934387, 32.9784882068634, 34.79362678527832]","[0.04505729675292969, 0.044962167739868164, 0.04554891586303711, 0.04526996612548828, 0.04506969451904297, 0.04512310028076172, 0.04602980613708496, 0.045049190521240234, 0.05156087875366211, 0.048050642013549805]","[5.664092302322388, 5.8904149532318115, 5.527823209762573, 5.119596719741821, 5.4328508377075195, 6.075488328933716, 5.541521787643433, 5.421724557876587, 5.4555840492248535, 5.14105224609375]","[0.008516788482666016, 0.01003122329711914, 0.00953984260559082, 0.01006770133972168, 0.009024620056152344, 0.009998083114624023, 0.009696245193481445, 0.00899958610534668, 0.009524106979370117, 0.00844120979309082]"
