model,all_roc_scores,all_f1_scores,all_recall_scores,all_n_params,all_roc_simplified_scores,all_f1_simplified_scores,all_recall_simplified_scores,all_n_params_simplified,all_training_times,all_test_times,all_simplified_training_times,all_simplified_test_times
"(1, 'DeEscalation')","[0.7405611636594865, 0.7237716140155164, 0.6926691729323309, 0.731203007518797, 0.838888888888889, 0.7653879012245229, 0.7309244314013206, 0.7792536369386465, 0.6832963784183297, 0.7131327953044754]","[0.947069943289225, 0.8437832093517534, 0.8304721030042919, 0.848356309650053, 0.9294117647058824, 0.8565310492505354, 0.8990825688073395, 0.9297725024727992, 0.9160908193484699, 0.8271334792122538]","[0.9159049360146252, 0.7448405253283302, 0.7274436090225563, 0.7518796992481203, 0.8777777777777778, 0.7648183556405354, 0.8448275862068966, 0.8918406072106262, 0.8787878787878788, 0.7241379310344828]","[21, 24, 24, 18, 21, 21, 20, 19, 23, 23]","[0.766671965662507, 0.7646671061305207, 0.7020676691729324, 0.7697368421052632, 0.8444444444444446, 0.7653879012245229, 0.7550745903643923, 0.7902096322399927, 0.7245011086474502, 0.7501834189288334]","[0.9296046287367405, 0.91, 0.9183874139626352, 0.8498402555910544, 0.9175769612711023, 0.8565310492505354, 0.9042769857433809, 0.929633300297324, 0.9110889110889111, 0.910010111223458]","[0.8811700182815356, 0.8536585365853658, 0.8778195488721805, 0.75, 0.8555555555555555, 0.7648183556405354, 0.8505747126436781, 0.889943074003795, 0.8636363636363636, 0.8620689655172413]","[6, 5, 4, 6, 3, 21, 3, 2, 13, 6]","[0.03344535827636719, 0.01964545249938965, 0.02100825309753418, 0.020047426223754883, 0.02120065689086914, 0.020026445388793945, 0.02248692512512207, 0.02043628692626953, 0.02167820930480957, 0.021349668502807617]","[0.0019998550415039062, 0.002000093460083008, 0.002002239227294922, 0.0019998550415039062, 0.0019979476928710938, 0.0019998550415039062, 0.0015108585357666016, 0.002000093460083008, 0.0010001659393310547, 0.0009987354278564453]","[0.4496641159057617, 0.5858666896820068, 0.5592873096466064, 0.4286074638366699, 0.5010221004486084, 0.48901867866516113, 0.47548580169677734, 0.45968008041381836, 0.5666353702545166, 0.5148789882659912]","[0.0019998550415039062, 0.002000093460083008, 0.002002239227294922, 0.0019998550415039062, 0.0019979476928710938, 0.0019998550415039062, 0.0015108585357666016, 0.002000093460083008, 0.0010001659393310547, 0.0009987354278564453]"
"(2, 'DeEscalation')","[0.5570029027576197, 0.5799775784753363, 0.5672368455309953, 0.5550857275254867, 0.5799955496217178, 0.5661162527465211, 0.5958404802744426, 0.5641216077023994, 0.5904458598726114, 0.5957947122861587]","[0.2803970223325062, 0.8804841149773072, 0.8652809853733642, 0.33785450061652283, 0.5050505050505051, 0.8706962509563887, 0.3710292249047014, 0.2670375521557719, 0.788659793814433, 0.8582677165354331]","[0.16400580551523947, 0.8699551569506726, 0.8632872503840245, 0.2063253012048193, 0.35046728971962615, 0.8713629402756509, 0.22955974842767296, 0.15508885298869143, 0.7308917197452229, 0.8475894245723172]","[24, 20, 21, 19, 22, 22, 22, 23, 19, 20]","[0.5625272133526851, 0.58796711509716, 0.5357012679319951, 0.5580977757182576, 0.5680166147455867, 0.5729609161728477, 0.5966266437964551, 0.5657371165876983, 0.5944267515923567, 0.5981275272161741]","[0.27860696517412936, 0.8845283018867924, 0.14772727272727273, 0.3460122699386503, 0.5111111111111111, 0.30451612903225805, 0.3730964467005076, 0.27184466019417475, 0.7938408896492729, 0.8609583660644148]","[0.1625544267053701, 0.8759342301943199, 0.07987711213517665, 0.21234939759036145, 0.3582554517133956, 0.1807044410413476, 0.23113207547169812, 0.1583198707592892, 0.7388535031847133, 0.8522550544323484]","[7, 5, 1, 3, 5, 2, 7, 7, 5, 5]","[0.07310366630554199, 0.07442593574523926, 0.07200336456298828, 0.07263398170471191, 0.07541394233703613, 0.07512688636779785, 0.07504749298095703, 0.07499957084655762, 0.07254695892333984, 0.07691168785095215]","[0.003726482391357422, 0.0030019283294677734, 0.004000186920166016, 0.0030014514923095703, 0.0030024051666259766, 0.0035092830657958984, 0.003747701644897461, 0.0029993057250976562, 0.00351715087890625, 0.0039980411529541016]","[1.7339086532592773, 1.4518349170684814, 1.605541467666626, 1.3855652809143066, 1.630540370941162, 1.6607491970062256, 1.8205666542053223, 1.819915533065796, 1.5530908107757568, 1.713219165802002]","[0.003726482391357422, 0.0030019283294677734, 0.004000186920166016, 0.0030014514923095703, 0.0030024051666259766, 0.0035092830657958984, 0.003747701644897461, 0.0029993057250976562, 0.00351715087890625, 0.0039980411529541016]"
"(2, 'Escalation')","[0.7476415094339621, 0.5698924731182795, 0.6096256684491979, 0.6612903225806451, 0.5944444444444444, 0.6425269645608629, 0.68482905982906, 0.8588992974238875, 0.7435897435897435, 0.8243559718969556]","[0.5217391304347826, 0.125, 0.22727272727272727, 0.1935483870967742, 0.1724137931034483, 0.2777777777777778, 0.3181818181818182, 0.4, 0.3902439024390244, 0.5]","[0.75, 0.3333333333333333, 0.45454545454545453, 0.5, 0.5555555555555556, 0.45454545454545453, 0.5833333333333334, 0.8571428571428571, 0.6666666666666666, 0.7142857142857143]","[20, 14, 24, 16, 21, 14, 19, 14, 15, 16]","[0.7476415094339621, 0.5698924731182795, 0.6558441558441559, 0.6612903225806451, 0.5902777777777778, 0.6879815100154083, 0.68482905982906, 0.8629976580796253, 0.7435897435897435, 0.8243559718969556]","[0.5217391304347826, 0.125, 0.30303030303030304, 0.1935483870967742, 0.1694915254237288, 0.32432432432432434, 0.3181818181818182, 0.41379310344827586, 0.3902439024390244, 0.5]","[0.75, 0.3333333333333333, 0.45454545454545453, 0.5, 0.5555555555555556, 0.5454545454545454, 0.5833333333333334, 0.8571428571428571, 0.6666666666666666, 0.7142857142857143]","[14, 8, 7, 11, 9, 6, 14, 4, 7, 12]","[0.0061452388763427734, 0.005997180938720703, 0.0059320926666259766, 0.006527423858642578, 0.0057239532470703125, 0.007511138916015625, 0.005997180938720703, 0.0062732696533203125, 0.006569862365722656, 0.00599980354309082]","[0.0009992122650146484, 0.0010025501251220703, 0.0009987354278564453, 0.0009927749633789062, 0.0019965171813964844, 0.00099945068359375, 0.0009999275207519531, 0.0010020732879638672, 0.0009367465972900391, 0.0015823841094970703]","[0.15067529678344727, 0.09900712966918945, 0.1581249237060547, 0.13046574592590332, 0.15285420417785645, 0.10850954055786133, 0.1635124683380127, 0.13721585273742676, 0.12906169891357422, 0.13767480850219727]","[0.0009992122650146484, 0.0010025501251220703, 0.0009987354278564453, 0.0009927749633789062, 0.0019965171813964844, 0.00099945068359375, 0.0009999275207519531, 0.0010020732879638672, 0.0009367465972900391, 0.0015823841094970703]"
"(3, 'DeEscalation')","[0.5621549944799117, 0.5613746415307226, 0.5595926231764382, 0.5653591613931694, 0.5452659373821199, 0.5490464868012422, 0.5934488171728972, 0.58771141121023, 0.5960178978851178, 0.5815826330532212]","[0.7454545454545455, 0.7321131447587355, 0.767515923566879, 0.7599029911075182, 0.7251655629139073, 0.7544141252006421, 0.7568027210884354, 0.741306191687871, 0.7422145328719724, 0.7255244755244755]","[0.898406374501992, 0.9205020920502092, 0.928709055876686, 0.9251968503937008, 0.9087136929460581, 0.91796875, 0.869140625, 0.9219409282700421, 0.8900414937759336, 0.8718487394957983]","[26, 23, 23, 28, 22, 24, 21, 27, 27, 24]","[0.5621549944799117, 0.5613746415307226, 0.5596476740985412, 0.5670076324815226, 0.5463032817804602, 0.55468143439441, 0.5985415449766356, 0.5856017065688798, 0.6034182123393741, 0.552170868347339]","[0.7454545454545455, 0.7321131447587355, 0.7705696202531646, 0.7587327376116978, 0.7262200165425972, 0.7572347266881029, 0.7653490328006728, 0.7391673746813934, 0.7540425531914894, 0.2842465753424658]","[0.898406374501992, 0.9205020920502092, 0.9383429672447013, 0.9192913385826772, 0.9107883817427386, 0.919921875, 0.888671875, 0.9177215189873418, 0.9190871369294605, 0.17436974789915966]","[22, 16, 12, 14, 7, 12, 6, 22, 6, 3]","[0.13665413856506348, 0.13732171058654785, 0.13159942626953125, 0.1290912628173828, 0.131011962890625, 0.13158679008483887, 0.1299593448638916, 0.12858891487121582, 0.12683916091918945, 0.1284787654876709]","[0.00651240348815918, 0.0058879852294921875, 0.005997896194458008, 0.005000591278076172, 0.0055196285247802734, 0.0054323673248291016, 0.004999399185180664, 0.00532221794128418, 0.005510091781616211, 0.004999876022338867]","[3.581021785736084, 3.336010217666626, 3.2824935913085938, 3.80216383934021, 3.2903878688812256, 3.251271963119507, 2.8641350269317627, 3.5147366523742676, 3.7851810455322266, 3.464348554611206]","[0.00651240348815918, 0.0058879852294921875, 0.005997896194458008, 0.005000591278076172, 0.0055196285247802734, 0.0054323673248291016, 0.004999399185180664, 0.00532221794128418, 0.005510091781616211, 0.004999876022338867]"
"(3, 'Escalation')","[0.6114056012015197, 0.6676136363636364, 0.6365489625045504, 0.6415165479681608, 0.6439582684521956, 0.6577227382180942, 0.6826878025925347, 0.6494815247553674, 0.6526660612350804, 0.6347248576850095]","[0.20209059233449478, 0.1702127659574468, 0.2550335570469799, 0.22525597269624573, 0.24390243902439024, 0.22857142857142856, 0.2642857142857143, 0.26058631921824105, 0.3007518796992481, 0.21978021978021978]","[0.8787878787878788, 1.0, 0.926829268292683, 0.9428571428571428, 0.9210526315789473, 0.9411764705882353, 0.9736842105263158, 0.975609756097561, 0.851063829787234, 0.8823529411764706]","[14, 14, 14, 17, 14, 14, 11, 13, 14, 13]","[0.6899461083134553, 0.6676136363636364, 0.6365489625045504, 0.649937159614579, 0.6479289940828402, 0.663656690746474, 0.6869436201780416, 0.6539725427194392, 0.6663531395952257, 0.6347248576850095]","[0.3764705882352941, 0.1702127659574468, 0.2550335570469799, 0.22818791946308725, 0.24203821656050956, 0.22996515679442509, 0.26480836236933797, 0.2631578947368421, 0.30943396226415093, 0.21978021978021978]","[0.48484848484848486, 1.0, 0.926829268292683, 0.9714285714285714, 1.0, 0.9705882352941176, 1.0, 0.975609756097561, 0.8723404255319149, 0.8823529411764706]","[2, 5, 11, 6, 4, 6, 5, 7, 8, 10]","[0.040847063064575195, 0.03715372085571289, 0.03806710243225098, 0.03747415542602539, 0.041033267974853516, 0.04086041450500488, 0.038338661193847656, 0.036962032318115234, 0.03752636909484863, 0.03749489784240723]","[0.0040035247802734375, 0.004000186920166016, 0.003997325897216797, 0.003559589385986328, 0.0039997100830078125, 0.0039997100830078125, 0.0031828880310058594, 0.0030014514923095703, 0.00397181510925293, 0.0029981136322021484]","[0.7672874927520752, 0.6768269538879395, 0.6926712989807129, 0.7153594493865967, 0.7336795330047607, 0.6895749568939209, 0.5630269050598145, 0.6450660228729248, 0.6674342155456543, 0.6830403804779053]","[0.0040035247802734375, 0.004000186920166016, 0.003997325897216797, 0.003559589385986328, 0.0039997100830078125, 0.0039997100830078125, 0.0031828880310058594, 0.0030014514923095703, 0.00397181510925293, 0.0029981136322021484]"
"(4, 'DeEscalation')","[0.6134603930911257, 0.6584407735697019, 0.5620300751879699, 0.6021212121212121, 0.6384848484848485, 0.6111336032388663, 0.5781818181818181, 0.6260121457489879, 0.6106275303643725, 0.6364826752618856]","[0.6931818181818182, 0.7344632768361582, 0.5540540540540541, 0.6740331491712708, 0.6826347305389222, 0.717391304347826, 0.6918918918918919, 0.6818181818181818, 0.6666666666666666, 0.7165775401069518]","[0.8356164383561644, 0.8904109589041096, 0.7192982456140351, 0.9242424242424242, 0.8636363636363636, 0.868421052631579, 0.8533333333333334, 0.9230769230769231, 0.8923076923076924, 0.9852941176470589]","[16, 15, 18, 15, 15, 15, 16, 15, 17, 19]","[0.6134603930911257, 0.6584407735697019, 0.5620300751879699, 0.6021212121212121, 0.6451515151515151, 0.6473684210526316, 0.6245454545454545, 0.6260121457489879, 0.6172064777327935, 0.6364826752618856]","[0.6931818181818182, 0.7344632768361582, 0.5540540540540541, 0.6740331491712708, 0.6867469879518072, 0.7431693989071039, 0.711864406779661, 0.6818181818181818, 0.6705202312138728, 0.7165775401069518]","[0.8356164383561644, 0.8904109589041096, 0.7192982456140351, 0.9242424242424242, 0.8636363636363636, 0.8947368421052632, 0.84, 0.9230769230769231, 0.8923076923076924, 0.9852941176470589]","[4, 4, 8, 4, 3, 7, 7, 7, 4, 5]","[0.010915756225585938, 0.009997844696044922, 0.010434389114379883, 0.010359048843383789, 0.010521888732910156, 0.010015487670898438, 0.010506391525268555, 0.009813785552978516, 0.011001110076904297, 0.009956121444702148]","[0.0020020008087158203, 0.001999378204345703, 0.0015146732330322266, 0.0019979476928710938, 0.0015048980712890625, 0.0020017623901367188, 0.0010001659393310547, 0.002518177032470703, 0.0019965171813964844, 0.001999378204345703]","[0.21682357788085938, 0.20734405517578125, 0.24769926071166992, 0.2109665870666504, 0.1927201747894287, 0.1901698112487793, 0.2147815227508545, 0.19940590858459473, 0.22857332229614258, 0.24248504638671875]","[0.0020020008087158203, 0.001999378204345703, 0.0015146732330322266, 0.0019979476928710938, 0.0015048980712890625, 0.0020017623901367188, 0.0010001659393310547, 0.002518177032470703, 0.0019965171813964844, 0.001999378204345703]"
"(4, 'Escalation')","[0.5741360089186176, 0.5208333333333333, 0.53125, 0.5680044593088072, 0.5931142410015648, 0.5839583333333334, 0.553125, 0.5700339558573854, 0.5171641791044777, 0.5253827558420628]","[0.5102040816326531, 0.46296296296296297, 0.40384615384615385, 0.5454545454545454, 0.5283018867924528, 0.4854368932038835, 0.4793388429752066, 0.47863247863247865, 0.5373134328358209, 0.48854961832061067]","[0.6410256410256411, 0.6944444444444444, 0.75, 0.8461538461538461, 0.7777777777777778, 0.78125, 0.90625, 0.9032258064516129, 0.9, 0.9411764705882353]","[22, 14, 12, 15, 16, 17, 15, 15, 15, 15]","[0.5981047937569677, 0.5763888888888888, 0.5598214285714285, 0.60479375696767, 0.5931142410015648, 0.5995833333333334, 0.5664583333333333, 0.5568760611205432, 0.5246268656716419, 0.5459307010475424]","[0.5436893203883495, 0.5178571428571429, 0.43243243243243246, 0.5826771653543307, 0.5283018867924528, 0.5, 0.48739495798319327, 0.47058823529411764, 0.5413533834586466, 0.5]","[0.717948717948718, 0.8055555555555556, 0.8571428571428571, 0.9487179487179487, 0.7777777777777778, 0.8125, 0.90625, 0.9032258064516129, 0.9, 0.9411764705882353]","[13, 3, 3, 2, 9, 11, 4, 8, 3, 6]","[0.008260726928710938, 0.0075147151947021484, 0.009218931198120117, 0.008032083511352539, 0.0070002079010009766, 0.008126020431518555, 0.008193254470825195, 0.008356809616088867, 0.0074956417083740234, 0.00829768180847168]","[0.0019998550415039062, 0.0020096302032470703, 0.0025315284729003906, 0.0020279884338378906, 0.002518177032470703, 0.002000093460083008, 0.0020132064819335938, 0.0009996891021728516, 0.002000093460083008, 0.002946138381958008]","[0.18904638290405273, 0.17165064811706543, 0.14348053932189941, 0.17446255683898926, 0.17347359657287598, 0.17582011222839355, 0.18264174461364746, 0.1621248722076416, 0.17813611030578613, 0.1761324405670166]","[0.0019998550415039062, 0.0020096302032470703, 0.0025315284729003906, 0.0020279884338378906, 0.002518177032470703, 0.002000093460083008, 0.0020132064819335938, 0.0009996891021728516, 0.002000093460083008, 0.002946138381958008]"
"(5, 'Escalation')","[0.5593434343434344, 0.5869540229885057, 0.555911680911681, 0.5376344086021505, 0.5194444444444444, 0.5818686401480111, 0.5562610229276896, 0.5766651248843664, 0.6125, 0.5711722488038278]","[0.2641509433962264, 0.3076923076923077, 0.2878787878787879, 0.3064516129032258, 0.2018348623853211, 0.3185840707964602, 0.2698412698412698, 0.3275862068965517, 0.4307692307692308, 0.3007518796992481]","[0.1590909090909091, 0.1839080459770115, 0.17592592592592593, 0.20430107526881722, 0.12222222222222222, 0.1956521739130435, 0.1619047619047619, 0.20652173913043478, 0.2916666666666667, 0.18181818181818182]","[17, 17, 14, 20, 15, 15, 15, 18, 19, 16]","[0.5643939393939394, 0.5697126436781609, 0.5566239316239315, 0.543010752688172, 0.5559027777777777, 0.5818686401480111, 0.54673721340388, 0.5766651248843664, 0.6125, 0.5711722488038278]","[0.26666666666666666, 0.25742574257425743, 0.24, 0.205607476635514, 0.21568627450980393, 0.3185840707964602, 0.24193548387096775, 0.3275862068965517, 0.4307692307692308, 0.3007518796992481]","[0.1590909090909091, 0.14942528735632185, 0.1388888888888889, 0.11827956989247312, 0.12222222222222222, 0.1956521739130435, 0.14285714285714285, 0.20652173913043478, 0.2916666666666667, 0.18181818181818182]","[2, 4, 2, 2, 2, 5, 3, 5, 4, 5]","[0.02154397964477539, 0.019018888473510742, 0.02113032341003418, 0.019582748413085938, 0.020572900772094727, 0.01999688148498535, 0.01957988739013672, 0.019528865814208984, 0.01950669288635254, 0.020421504974365234]","[0.0029990673065185547, 0.0030095577239990234, 0.0030002593994140625, 0.0030014514923095703, 0.0025129318237304688, 0.002999544143676758, 0.0019969940185546875, 0.003031015396118164, 0.0030007362365722656, 0.002997159957885742]","[0.41968369483947754, 0.40148067474365234, 0.3057668209075928, 0.40457582473754883, 0.3497788906097412, 0.3719053268432617, 0.35496973991394043, 0.3950808048248291, 0.4538588523864746, 0.3519906997680664]","[0.0029990673065185547, 0.0030095577239990234, 0.0030002593994140625, 0.0030014514923095703, 0.0025129318237304688, 0.002999544143676758, 0.0019969940185546875, 0.003031015396118164, 0.0030007362365722656, 0.002997159957885742]"
